page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,T1.0,T,floor_plan,0.7,1487,False,True,,07 22,0,0,0,,,,,FBC,False,0
1,AR96268,AR,unknown,0.0,181,False,False,,,0,0,0,,,,,,False,0
2,,,unknown,0.0,181,False,False,,,0,0,0,,,,,,False,0
3,,,general_notes,0.9,891,False,False,,,0,0,0,,,,,,False,0
4,,,floor_plan,0.7,500,False,False,,,0,0,0,,,,,,False,0
5,,,floor_plan,0.7,1360,False,False,,,0,0,0,,,,,,False,0
6,,,elevation,0.7,209,False,False,,,0,0,0,,,,,,False,0
7,,,elevation,0.7,557,False,False,,,0,0,0,,,,,,False,0
8,,,elevation,0.7,586,False,True,,,0,0,0,,,,,FBC,False,0
9,,,elevation,0.7,518,False,True,,,0,0,0,,,,,FBC,False,0
10,A5.0,A,detail_sheet,0.7,635,False,True,,,0,0,0,,,,,FBC,False,0
11,,,ceiling_plan,0.7,255,False,False,,,0,0,0,,,,,,False,0
12,,,site_plan,0.9,350,False,False,,,0,0,0,,,,,,False,0
13,,,floor_plan,0.9,1059,False,False,,,0,0,0,,,,,,False,2
14,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
15,,,unknown,0.0,3,False,False,,,0,0,0,,,,,,False,0
16,,,symbol_legend,0.7,3,False,False,,,0,0,0,,,,,,False,0
17,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
18,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
19,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
20,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
21,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
22,,,unknown,0.0,2,False,False,,,0,0,0,,,,,,False,0
23,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
24,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
25,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
26,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
27,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
