page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
1,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
2,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
3,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
4,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
5,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
6,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
7,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
8,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
9,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
10,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
11,C0.1,C,general_notes,0.9,755,False,True,,07 72,0,0,0,,,,,,True,0
12,C0.2,C,elevation,0.9,7246,False,True,pvc,,0,0,0,,,,,,False,4
13,C0.3,C,general_notes,0.9,3394,False,True,pvc,,0,0,0,,,,,,False,0
14,C1.1,C,general_notes,0.9,547,False,False,,,0,0,0,,,,,,False,0
15,C1.2,C,detail_sheet,0.9,4494,False,False,,,0,0,0,,,,,,False,4
16,C1.3,C,general_notes,0.9,1011,False,False,,,0,0,0,,,,,,False,0
17,C1.4,C,general_notes,0.9,974,False,True,pvc,,0,0,0,,,,,,False,0
18,C1.4B,C,general_notes,0.9,276,False,False,,,0,0,0,,,,,,False,0
19,C1.5,C,general_notes,0.9,1006,False,True,pvc,,0,0,0,,,,,,False,0
20,C1.5B,C,general_notes,0.9,854,False,True,pvc,,0,0,0,,,,,,False,0
21,C2.1,C,general_notes,0.9,408,False,False,,,0,0,0,,,,,,False,0
22,C5.1,C,section,0.7,387,False,False,,,0,0,0,,,,,,False,0
23,C5.2,C,general_notes,0.9,133,False,False,,,0,0,0,,,,,,False,0
24,D0.1,D,general_notes,0.9,1313,False,False,,,0,0,0,,,,,,False,12
25,,,general_notes,0.7,52,False,False,,,0,0,0,,,,,,False,0
26,,,unknown,0.0,57,False,False,,,0,0,0,,,,,,False,0
27,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
28,,,detail_sheet,0.7,53,False,False,,,0,0,0,,,,,,False,0
29,,,detail_sheet,0.7,52,False,False,,,0,0,0,,,,,,False,0
30,,,unknown,0.0,52,False,False,,,0,0,0,,,,,,False,0
31,IR1.0,IR,schedule_sheet,0.9,2715,False,True,pvc,,0,0,0,,,,,,False,16
32,IR5.0,IR,general_notes,0.9,1981,False,True,pvc,07 92,0,0,0,,,,,,True,0
33,IR5.1,IR,general_notes,0.9,1357,False,True,pvc,,0,0,0,,,,,,False,0
34,L1.0,L,general_notes,0.9,1096,False,False,,,0,0,0,,,,,,False,0
35,L5.0,L,general_notes,0.9,2875,False,False,,,0,0,0,,,,,,False,4
36,L5.1,L,general_notes,0.9,840,False,False,,,0,0,0,,,,,,False,0
37,LS1.0,LS,general_notes,0.9,1871,False,True,pvc,,0,0,0,,,,,,False,0
38,,,unknown,0.0,48,False,False,,,0,0,0,,,,,,False,0
39,,,unknown,0.0,48,False,False,,,0,0,0,,,,,,False,0
40,,,unknown,0.0,49,False,False,,,0,0,0,,,,,,False,0
41,,,detail_sheet,0.7,50,False,False,,,0,0,0,,,,,,False,0
42,PH0.1,PH,general_notes,0.9,887,False,False,,,0,0,0,,,,,,False,0
43,,,unknown,0.0,2,False,False,,,0,0,0,,,,,,False,0
44,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
45,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
46,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
47,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
48,,,unknown,0.0,2,False,False,,,0,0,0,,,,,,False,0
49,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
50,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
51,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
52,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
53,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
54,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
55,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
56,,,schedule_sheet,0.7,143,False,False,,,0,0,0,,,,,,False,0
57,TR1.0,TR,detail_sheet,0.9,942,False,False,,,0,0,0,,,,,,False,0
58,,,general_notes,0.9,290,False,False,,,0,0,0,,,,,,False,0
59,,,general_notes,0.9,261,False,False,,,0,0,0,,,,,,False,0
60,,,general_notes,0.9,261,False,False,,,0,0,0,,,,,,False,0
