page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,,,elevation,0.7,2041,False,True,,07 22,0,0,0,,,,,,False,1
1,,,framing_plan,0.7,4185,False,True,pvc,,0,0,0,,,,,,False,0
2,,,detail_sheet,0.7,2764,False,True,built_up,,0,0,0,,,,,,False,0
3,,,schedule_sheet,0.7,478,False,False,,,0,0,0,,,,,,False,0
4,S502,S,elevation,0.7,460,False,False,,,0,0,0,,,,,,False,0
5,S101,S,framing_plan,0.9,580,False,False,,,0,0,0,,,,,,False,1
6,,,detail_sheet,0.9,987,False,False,,,0,0,0,,,,,,False,0
7,,,elevation,0.9,1142,False,False,,,0,0,0,,,,,,False,10
8,,,detail_sheet,0.9,935,False,False,,,0,0,0,,,,,,False,9
9,SW-3S,SW,schedule_sheet,0.9,1275,False,True,built_up,,0,0,0,,,,,,False,0
10,,,general_notes,0.9,94,False,False,,,0,0,0,,,,,,False,0
11,,,detail_sheet,0.7,122,False,False,,,0,0,0,,,,,,False,0
12,,,unknown,0.0,187,False,False,,,0,0,0,,,,,,False,0
13,,,unknown,0.0,78,False,False,,,0,0,0,,,,,,False,0
14,,,cover,0.9,1793,False,True,tpo,07 55,1,1,0,GAF,,,,NOA;FBC,False,1
15,,,elevation,0.7,2381,False,False,,,0,0,0,,,,,,False,1
16,,,detail_sheet,0.9,864,False,False,,,0,0,0,,,,,,False,0
17,,,detail_sheet,0.9,583,False,False,,,0,0,0,,,,,,False,0
18,,,schedule_sheet,0.9,880,False,False,,,0,0,0,,,,,,False,0
19,,,section,0.7,1630,False,True,,,0,0,0,,,,,FBC,False,0
20,,,schedule_sheet,0.9,525,False,False,,,0,0,0,,,,,,False,0
21,,,roof_plan,0.7,496,False,False,,,0,0,0,,,,,,False,0
22,,,floor_plan,0.9,702,False,False,,,0,0,0,,,,,,False,0
23,,,detail_sheet,0.9,1469,False,False,,,0,0,0,,,,,,False,0
24,,,ceiling_plan,0.9,938,False,False,,,0,0,0,,,,,,False,2
25,WD1,WD,schedule_sheet,0.9,1046,False,False,,,0,0,0,,,,,,False,2
26,,,schedule_sheet,0.9,650,False,False,,,0,0,0,,,,,,False,0
27,,,roof_plan,0.9,646,False,True,,,1,1,0,GAF,,,,FBC,False,13
28,,,elevation,0.9,842,False,False,,,0,0,0,,,,,,False,0
29,,,elevation,0.9,920,False,False,,,0,0,0,,,,,,False,0
30,,,section,0.7,616,False,False,,,0,0,0,,,,,,False,0
31,,,elevation,0.7,603,False,False,,,0,0,0,,,,,,False,0
32,,,elevation,0.9,771,False,True,tpo,,1,1,0,GAF,,,,,False,0
33,,,schedule_sheet,0.9,1378,False,True,,,0,0,0,,,,,FBC,False,23
34,,,schedule_sheet,0.9,689,False,False,,,0,0,0,,,,,,False,0
35,,,section,0.7,1804,False,False,,,0,0,0,,,,,,False,0
36,,,general_notes,0.9,96,False,False,,,0,0,0,,,,,,False,0
37,,,detail_sheet,0.7,110,False,False,,,0,0,0,,,,,,False,0
38,,,unknown,0.0,134,False,False,,,0,0,0,,,,,,False,0
39,,,unknown,0.0,78,False,False,,,0,0,0,,,,,,False,0
