page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,A-001,A,cover,0.9,1739,False,True,built_up;tpo,,1,1,0,Tremco,60 mil,R-20,,,False,0
1,A-002,A,life_safety,0.9,2020,False,True,,,0,0,0,,,,,FBC,False,0
2,A-003,A,site_plan,0.9,161,False,False,,,0,0,0,,,,,,False,0
3,A-202,A,roof_plan,0.9,496,False,True,tpo,,0,0,0,,60 mil,R-20,Kynar,,False,0
4,A-402,A,floor_plan,0.9,385,False,True,,,0,0,0,,,,Kynar,,False,0
5,A-201,A,elevation,0.9,612,False,True,,,1,1,0,Tremco,,,,,False,0
6,,,elevation,0.9,1254,False,True,tpo,,0,0,0,,,,,,False,0
7,A-401,A,detail_sheet,0.9,1504,False,True,tpo,,0,0,0,,45 mil;60 mil,polyiso;polyisocyanurate;R-25,,,False,0
8,,,detail_sheet,0.9,783,False,False,,,0,0,0,,,,,,False,0
9,A-501,A,detail_sheet,0.9,92,False,False,,,0,0,0,,,,,,False,0
10,A-601,A,elevation,0.9,1869,False,False,,,0,0,0,,,,,,False,0
11,S-000,S,cover,0.9,293,False,False,,,0,0,0,,,,,,False,0
12,S-100,S,elevation,0.9,5929,False,True,,07 22,0,0,0,,,,,NOA,False,1
13,S-101,S,detail_sheet,0.7,1169,False,True,,07 22,0,0,0,,,,,FBC,False,0
14,S-102,S,elevation,0.9,305,False,False,,,0,0,0,,,,,,False,0
15,S-103,S,section,0.7,3578,False,False,,,0,0,0,,,,,,False,41
16,S-200,S,schedule_sheet,0.9,1092,False,False,,,0,0,0,,,,,,False,0
17,S-210,S,detail_sheet,0.9,1299,False,True,,07 22,0,0,0,,,,,,False,20
18,S-300,S,elevation,0.7,1834,False,False,,,0,0,0,,,,,,False,0
19,S-301,S,detail_sheet,0.9,626,False,False,,,0,0,0,,,,,,False,0
20,S-310,S,elevation,0.9,1351,False,False,,,0,0,0,,,,,,False,1
21,S-311,S,elevation,0.9,535,False,False,,,0,0,0,,,,,,False,1
22,S-312,S,elevation,0.9,1038,False,False,,,0,0,0,,,,,,False,1
23,S-313,S,elevation,0.9,536,False,False,,,0,0,0,,,,,,False,1
24,,,elevation,0.9,1283,False,False,,,0,0,0,,,,,,False,0
25,S-321,S,elevation,0.9,1043,False,False,,,0,0,0,,,,,,False,0
26,S-322,S,elevation,0.9,900,False,False,,,0,0,0,,,,,,False,0
27,S-323,S,elevation,0.9,206,False,False,,,0,0,0,,,,,,False,0
28,S-400,S,detail_sheet,0.9,795,False,False,,,0,0,0,,,,,,False,0
29,S-500,S,detail_sheet,0.9,1454,False,False,,,0,0,0,,,,,,False,0
30,S-501,S,detail_sheet,0.9,1356,False,False,,,0,0,0,,,,,,False,0
31,S-510,S,detail_sheet,0.9,766,False,False,,,0,0,0,,,,,,False,0
32,S-520,S,detail_sheet,0.9,1629,False,False,,,0,0,0,,,,,,False,0
33,S-530,S,detail_sheet,0.9,941,False,False,,,0,0,0,,,,,,False,0
34,M-001,M,detail_sheet,0.9,5355,False,True,pvc,,0,0,0,,,,,NRCA;SMACNA,False,0
35,M-002,M,detail_sheet,0.7,1043,False,False,,,0,0,0,,,,,,False,0
36,M-100,M,mep_plan,0.3,333,False,False,,,0,0,0,,,,,,False,0
37,P-001,P,floor_plan,0.7,2345,False,False,,,0,0,0,,,,,,False,1
38,P-002,P,schedule_sheet,0.9,5032,False,True,pvc,,0,0,0,,,,,SMACNA,False,0
39,P-100,P,floor_plan,0.9,1169,False,False,,,0,0,0,,,,,,False,1
40,E-001,E,floor_plan,0.7,3552,False,True,pvc,,0,0,0,,,,,,False,0
41,E-002,E,floor_plan,0.7,563,False,False,,,0,0,0,,,,,,False,0
42,E-101,E,site_plan,0.9,384,False,False,,,0,0,0,,,,,,False,0
43,E-201,E,floor_plan,0.9,520,False,False,,,0,0,0,,,,,,False,0
44,E-301,E,floor_plan,0.9,467,False,False,,,0,0,0,,,,,,False,0
45,E-401,E,schedule_sheet,0.9,1541,False,False,,,0,0,0,,,,,,False,5
46,,,cover,0.9,1735,False,True,built_up;tpo,,1,1,0,Tremco,60 mil,R-20,,,False,0
47,,,life_safety,0.9,2030,False,True,,,0,0,0,,,,,FBC,False,0
48,,,site_plan,0.9,146,False,False,,,0,0,0,,,,,,False,0
49,A-101,A,roof_plan,0.9,458,False,True,tpo,,0,0,0,,60 mil,R-20,Kynar,,False,0
50,,,floor_plan,0.9,352,False,True,,,0,0,0,,,,Kynar,,False,0
51,,,elevation,0.9,613,False,True,,,1,1,0,Tremco,,,,,False,0
52,,,elevation,0.9,1237,False,True,tpo,,0,0,0,,,,,,False,0
53,,,detail_sheet,0.9,1507,False,True,tpo,,0,0,0,,45 mil;60 mil,polyiso;polyisocyanurate;R-20;R-25,,,False,0
54,,,detail_sheet,0.9,783,False,False,,,0,0,0,,,,,,False,0
55,,,detail_sheet,0.9,92,False,False,,,0,0,0,,,,,,False,0
56,,,elevation,0.9,1878,False,False,,,0,0,0,,,,,,False,0
57,,,cover,0.9,295,False,False,,,0,0,0,,,,,,False,0
58,,,elevation,0.9,5933,False,True,,07 22,0,0,0,,,,,NOA,False,1
59,,,detail_sheet,0.7,1181,False,True,,07 22,0,0,0,,,,,FBC,False,0
60,,,elevation,0.9,311,False,False,,,0,0,0,,,,,,False,0
61,,,section,0.7,3578,False,False,,,0,0,0,,,,,,False,41
62,,,schedule_sheet,0.9,1098,False,False,,,0,0,0,,,,,,False,0
