page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,G000,G,roof_plan,0.7,1130,False,True,,07 22,0,0,0,,,,,FBC,False,0
1,G010,G,detail_sheet,0.9,4083,False,False,,,0,0,0,,,,,,False,0
2,P300,P,elevation,0.7,4152,False,False,,,0,0,0,,,,,,False,1
3,G012,G,section,0.7,2853,False,True,pvc,,0,0,0,,,EPS,,,False,0
4,G013,G,section,0.7,4153,False,True,pvc,07 21,3,3,0,Versico;Berridge;Tremco,,polyisocyanurate;cover board,Galvalume;Kynar;PVDF,NRCA;SMACNA;SPRI,False,0
5,,,elevation,0.7,3435,False,True,epdm,07 71;07 6200,0,0,0,,,,PVDF,NOA,True,0
6,G015,G,schedule_sheet,0.9,2601,False,True,epdm,,0,0,0,,,EPS,,,False,1
7,G016,G,elevation,0.7,3295,False,True,,07 61,0,0,0,,,,,,False,0
8,SP102,SP,general_notes,0.9,799,False,False,,,0,0,0,,,,,,False,0
9,,,schedule_sheet,0.9,1044,False,False,,,0,0,0,,,,,,False,0
10,A300,A,floor_plan,0.7,647,False,False,,,0,0,0,,,,,,False,2
11,A140,A,roof_plan,0.7,674,False,True,pvc,,0,0,0,,,cover board,,,False,0
12,A400,A,elevation,0.7,1286,False,True,,,0,0,0,,,,Kynar,,False,2
13,,,elevation,0.7,1255,False,True,metal_panel,,0,0,0,,,,Kynar,,False,4
14,A405,A,roof_plan,0.7,750,False,True,pvc,,0,0,0,,,R-38,,,False,0
15,,,roof_plan,0.7,552,False,True,pvc,,0,0,0,,,,Kynar,,False,0
16,,,roof_plan,0.7,795,False,True,pvc;tpo,,0,0,0,,,R-38,,,False,0
17,A602,A,detail_sheet,0.7,725,False,False,,,0,0,0,,,,,,False,0
18,,,detail_sheet,0.7,574,False,False,,,0,0,0,,,,,,False,0
19,,,detail_sheet,0.7,1105,False,True,pvc;tpo,,0,0,0,,,,Kynar,,False,0
20,A601,A,schedule_sheet,0.7,907,False,False,,,0,0,0,,,,,,False,0
21,A404,A,general_notes,0.9,655,False,True,,,0,0,0,,,,,NOA,False,0
22,S001,S,unknown,0.0,84,False,False,,,0,0,0,,,,,,False,0
23,S301,S,unknown,0.0,106,False,False,,,0,0,0,,,,,,False,1
24,S200,S,unknown,0.0,116,False,False,,,0,0,0,,,,,,False,3
25,S400,S,section,0.5,93,False,False,,,0,0,0,,,,,,False,0
26,S401,S,elevation,0.7,117,False,False,,,0,0,0,,,,,,False,0
27,,,detail_sheet,0.7,95,False,False,,,0,0,0,,,,,,False,0
28,,,detail_sheet,0.7,97,False,False,,,0,0,0,,,,,,False,0
29,P100,P,symbol_legend,0.7,92,False,False,,,0,0,0,,,,,,False,0
30,P200,P,floor_plan,0.9,108,False,False,,,0,0,0,,,,,,False,0
31,,,detail_sheet,0.9,110,False,False,,,0,0,0,,,,,,False,0
32,E001,E,general_notes,0.9,2775,False,True,pvc,,0,0,0,,,,,,False,0
33,E100,E,detail_sheet,0.9,2052,False,True,pvc,,0,0,0,,,,,,False,0
34,E101,E,site_plan,0.9,2051,False,True,,,0,0,0,,,,,FBC,False,0
35,E102,E,schedule_sheet,0.9,161,False,False,,,0,0,0,,,,,,False,0
36,E200,E,elevation,0.7,1712,False,True,pvc,,0,0,0,,,,,,False,0
37,E300,E,detail_sheet,0.7,701,False,True,pvc,,0,0,0,,,,,,False,0
38,E400,E,schedule_sheet,0.9,4468,False,True,pvc,,0,0,0,,,,,,False,0
