page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,,,cover,0.9,60,False,False,,,0,0,0,,,,,,False,0
1,,,detail_sheet,0.7,75,False,False,,,0,0,0,,,,,,False,0
2,,,unknown,0.0,48,False,False,,,0,0,0,,,,,,False,0
3,,,unknown,0.0,51,False,False,,,0,0,0,,,,,,False,0
4,,,unknown,0.0,58,False,False,,,0,0,0,,,,,,False,0
5,,,general_notes,0.7,47,False,False,,,0,0,0,,,,,,False,0
6,A0.6,A,general_notes,0.7,48,False,False,,,0,0,0,,,,,,False,0
7,,,site_plan,0.7,216,False,False,,,0,0,0,,,,,,False,0
8,,,detail_sheet,0.7,48,False,False,,,0,0,0,,,,,,False,0
9,,,life_safety,0.7,50,False,False,,,0,0,0,,,,,,False,0
10,,,life_safety,0.7,50,False,False,,,0,0,0,,,,,,False,0
11,,,life_safety,0.7,50,False,False,,,0,0,0,,,,,,False,0
12,,,unknown,0.0,48,False,False,,,0,0,0,,,,,,False,0
13,,,unknown,0.0,49,False,False,,,0,0,0,,,,,,False,0
14,,,unknown,0.0,48,False,False,,,0,0,0,,,,,,False,0
15,,,unknown,0.0,48,False,False,,,0,0,0,,,,,,False,0
16,,,roof_plan,0.7,47,False,False,,,0,0,0,,,,,,False,0
17,,,unknown,0.0,51,False,False,,,0,0,0,,,,,,False,0
18,,,detail_sheet,0.7,49,False,False,,,0,0,0,,,,,,False,0
19,,,detail_sheet,0.7,49,False,False,,,0,0,0,,,,,,False,0
20,,,detail_sheet,0.7,47,False,False,,,0,0,0,,,,,,False,0
21,,,ceiling_plan,0.7,48,False,False,,,0,0,0,,,,,,False,0
22,,,schedule_sheet,0.7,51,False,False,,,0,0,0,,,,,,False,0
23,,,detail_sheet,0.7,53,False,False,,,0,0,0,,,,,,False,0
24,,,elevation,0.7,47,False,False,,,0,0,0,,,,,,False,0
25,,,elevation,0.7,47,False,False,,,0,0,0,,,,,,False,0
26,,,elevation,0.7,49,False,False,,,0,0,0,,,,,,False,0
27,,,elevation,0.7,50,False,False,,,0,0,0,,,,,,False,0
28,,,detail_sheet,0.7,49,False,False,,,0,0,0,,,,,,False,0
29,,,section,0.5,47,False,False,,,0,0,0,,,,,,False,0
30,,,section,0.5,47,False,False,,,0,0,0,,,,,,False,0
31,,,section,0.5,47,False,False,,,0,0,0,,,,,,False,0
32,,,unknown,0.0,68,False,False,,,0,0,0,,,,,,False,0
33,,,detail_sheet,0.7,51,False,False,,,0,0,0,,,,,,False,0
34,,,section,0.5,47,False,False,,,0,0,0,,,,,,False,0
35,,,section,0.5,47,False,False,,,0,0,0,,,,,,False,0
36,,,section,0.5,114,False,False,,,0,0,0,,,,,,False,0
37,S3.1,S,section,0.5,180,False,False,,,0,0,0,,,,,,False,5
38,S3.3,S,framing_plan,0.7,143,False,False,,,0,0,0,,,,,,False,8
39,S3.3,S,framing_plan,0.7,135,False,False,,,0,0,0,,,,,,False,8
40,S3.3,S,section,0.5,134,False,False,,,0,0,0,,,,,,False,5
41,,,detail_sheet,0.7,131,False,False,,,0,0,0,,,,,,False,0
42,,,detail_sheet,0.7,131,False,False,,,0,0,0,,,,,,False,1
43,,,detail_sheet,0.7,125,False,False,,,0,0,0,,,,,,False,0
44,M0.1,M,detail_sheet,0.7,1335,False,False,,,0,0,0,,,,,,False,2
45,M1.1,M,mep_plan,0.3,45,False,False,,,0,0,0,,,,,,False,0
