page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,TS-1H,TS,elevation,0.9,1153,False,True,pvc;built_up,,0,0,0,,,,,,False,0
1,TS-2H,TS,roof_plan,0.7,1777,False,False,,,0,0,0,,,,,,False,0
2,A-0.4H,A,unknown,0.0,332,False,False,,,0,0,0,,,,,,False,0
3,A-3.20,A,detail_sheet,0.7,3285,False,True,,07 46;07 22,0,0,0,,,,,,False,0
4,,,detail_sheet,0.7,2084,False,True,,07 84;07 22,0,0,0,,,,,,True,0
5,,,roof_plan,0.7,1367,False,False,,,0,0,0,,,,,,False,0
6,A-4.1,A,floor_plan,0.7,1790,False,False,,,0,0,0,,,,,,False,0
7,,,floor_plan,0.7,1461,False,False,,,0,0,0,,,,,,False,0
8,A-0.8,A,elevation,0.7,584,False,False,,,0,0,0,,,,,,False,0
9,,,floor_plan,0.9,2345,False,True,,,0,0,0,,,EPS,,,False,0
10,A-1.1,A,floor_plan,0.9,1683,False,True,,,0,0,0,,,EPS,,,False,0
11,,,floor_plan,0.9,1588,False,True,,,0,0,0,,,EPS,,,False,0
12,,,floor_plan,0.9,828,False,True,,,0,0,0,,,EPS,,,False,0
13,A-4.3,A,floor_plan,0.9,1366,False,True,,07 22,0,0,0,,,EPS,,,False,1
14,A-2.3H,A,floor_plan,0.7,1315,False,True,,,0,0,0,,,EPS,,,False,0
15,A-1.10,A,roof_plan,0.9,1840,False,True,metal_panel;tpo,,0,0,0,,,cover board,,,False,0
16,,,roof_plan,0.9,1003,False,False,,,0,0,0,,,,,,False,0
17,A-1.6,A,detail_sheet,0.9,1632,False,True,metal_panel;tpo;built_up,,0,0,0,,,R-30;cover board,,,False,1
18,,,detail_sheet,0.9,2441,False,True,metal_panel;tpo,,0,0,0,,,EPS;cover board,,,False,0
19,A-1.11,A,detail_sheet,0.9,830,False,True,metal_panel,,0,0,0,,,,,,False,0
20,A-5.10,A,elevation,0.7,1105,False,True,metal_panel,,0,0,0,,,,,,False,0
21,,,elevation,0.7,1013,False,True,metal_panel,,0,0,0,,,,,,False,0
22,,,elevation,0.7,1110,False,True,metal_panel,,0,0,0,,,,,,False,0
23,,,elevation,0.7,858,False,True,metal_panel,,0,0,0,,,,,,False,0
24,A-5.6,A,floor_plan,0.7,3307,False,False,,,0,0,0,,,,,,False,0
25,A-3.2,A,elevation,0.7,5074,False,False,,,0,0,0,,,,,,False,0
26,A-3.3,A,schedule_sheet,0.9,1541,False,False,,,0,0,0,,,,,,False,3
27,A-3.6,A,elevation,0.7,1984,False,True,metal_panel,,0,0,0,,,,,,False,0
28,,,elevation,0.7,2882,False,True,metal_panel,07 31,0,0,0,,,,,,False,0
29,A-3.8,A,elevation,0.7,1297,False,True,metal_panel,,0,0,0,,,EPS,,,False,0
30,,,schedule_sheet,0.9,2702,False,True,,,0,0,0,,,EPS,,,False,0
31,,,section,0.7,629,False,False,,,0,0,0,,,,,,False,0
32,,,section,0.7,480,False,False,,,0,0,0,,,,,,False,0
33,,,section,0.7,580,False,False,,,0,0,0,,,,,,False,0
34,,,section,0.7,1413,False,True,metal_panel;tpo,,0,0,0,,,EPS,,,False,0
35,,,section,0.7,1236,False,True,metal_panel;tpo,,0,0,0,,,EPS,,,False,0
36,,,schedule_sheet,0.9,1439,False,True,metal_panel;tpo,,0,0,0,,,,,,False,3
37,A-7.4,A,section,0.7,902,False,True,metal_panel;tpo,,0,0,0,,,,,,False,0
38,A-4.7,A,section,0.7,1635,False,True,metal_panel;tpo,,0,0,0,,,EPS,,,False,0
39,,,section,0.7,1451,False,True,metal_panel;tpo,,0,0,0,,,EPS,,,False,0
40,A-7.7,A,section,0.7,1621,False,True,metal_panel;tpo,,0,0,0,,,EPS,,,False,0
41,A-5.1,A,detail_sheet,0.9,1270,False,True,built_up,,0,0,0,,,,,,False,0
42,A-5.4,A,section,0.7,735,False,False,,,0,0,0,,,,,,False,0
43,,,floor_plan,0.9,873,False,False,,,0,0,0,,,,,,False,0
44,,,detail_sheet,0.9,1847,False,False,,,0,0,0,,,,,,False,0
45,A-9.2,A,schedule_sheet,0.7,2640,False,False,,,0,0,0,,,,,,False,0
46,A-9.8H,A,elevation,0.9,848,False,False,,,0,0,0,,,,,,False,0
47,,,schedule_sheet,0.9,1200,False,True,,,0,0,0,,,EPS,,,False,0
