page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,S5,S,roof_plan,0.7,2038,False,True,pvc,07 92,0,0,0,,,,,,True,23
1,,,general_notes,0.9,4213,False,False,,,0,0,0,,,,,,False,0
2,,,roof_plan,0.7,2518,False,True,,07 52;07 62,0,0,0,,,polyiso;polyisocyanurate;EPS,,SMACNA,False,0
3,,,ceiling_plan,0.7,3743,False,False,,,0,0,0,,,,,,False,0
4,C1,C,schedule_sheet,0.9,2514,False,False,,,0,0,0,,,,,,False,13
5,A-100,A,general_notes,0.9,532,False,False,,,0,0,0,,,,,,False,1
6,G-001,G,detail_sheet,0.7,898,False,False,,,0,0,0,,,,,,False,0
7,E-200,E,schedule_sheet,0.7,976,False,False,,,0,0,0,,,,,,False,0
8,A-102,A,detail_sheet,0.7,434,False,False,,,0,0,0,,,,,,False,0
9,A-104,A,floor_plan,0.7,1707,False,False,,,0,0,0,,,,,,False,4
10,A-403,A,detail_sheet,0.7,1001,False,False,,,0,0,0,,,,,,False,0
11,E-001,E,ceiling_plan,0.7,1541,False,False,,,0,0,0,,,,,,False,0
12,A-107,A,roof_plan,0.7,832,False,False,,,0,0,0,,,,,,False,13
13,A-108,A,roof_plan,0.7,628,False,True,pvc,,0,0,0,,,,,,False,0
14,A-109,A,detail_sheet,0.7,452,False,False,,,0,0,0,,,,,,False,0
15,,,elevation,0.7,200,False,False,,,0,0,0,,,,,,False,0
16,,,elevation,0.7,303,False,False,,,0,0,0,,,,,,False,0
17,W1,W,ceiling_plan,0.7,863,False,False,,,0,0,0,,,,,,False,0
18,,,elevation,0.7,1811,False,False,,,0,0,0,,,,,,False,1
19,A-404,A,schedule_sheet,0.9,1241,False,False,,,0,0,0,,,,,,False,0
20,A-405,A,detail_sheet,0.7,261,False,False,,,0,0,0,,,,,,False,0
21,A-406,A,elevation,0.7,3335,False,False,,,0,0,0,,,,,,False,0
22,A-500,A,elevation,0.7,525,False,False,,,0,0,0,,,,,,False,1
23,A-501,A,elevation,0.7,249,False,False,,,0,0,0,,,,,,False,0
24,A-502,A,elevation,0.7,876,False,False,,,0,0,0,,,,,,False,0
25,A-503,A,elevation,0.7,1061,False,True,,,0,0,0,,,,,TAS,False,0
26,S-000,S,detail_sheet,0.9,1422,False,False,,,0,0,0,,,,,,False,0
27,,,framing_plan,0.7,415,False,False,,,0,0,0,,,,,,False,0
28,P-400,P,floor_plan,0.7,559,False,False,,,0,0,0,,,,,,False,2
29,P-500,P,schedule_sheet,0.9,2983,False,True,pvc,,0,0,0,,,,,,False,71
30,,,schedule_sheet,0.9,1106,False,True,pvc,,0,0,0,,,,,FBC,False,10
31,,,roof_plan,0.7,2293,False,True,pvc,,0,0,0,,,,,,False,0
32,M-000,M,schedule_sheet,0.7,2463,False,True,,,1,1,0,Johns Manville,,,,FBC;SMACNA,False,0
33,M-100,M,roof_plan,0.7,1184,False,True,pvc,,0,0,0,,,,,,False,0
34,M-400,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
35,M-401,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
36,M-402,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
37,M-403,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
38,M-404,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
39,M-405,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
40,M-406,M,detail_sheet,0.7,264,False,False,,,0,0,0,,,,,,False,0
41,M-407,M,detail_sheet,0.7,191,False,False,,,0,0,0,,,,,,False,0
42,M-408,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
43,M-409,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
44,M-410,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
45,M-411,M,detail_sheet,0.7,167,False,False,,,0,0,0,,,,,,False,0
46,M-500,M,detail_sheet,0.7,987,False,False,,,0,0,0,,,,,,False,0
47,M-501,M,detail_sheet,0.7,620,False,False,,,0,0,0,,,,,,False,0
48,E-000,E,ceiling_plan,0.7,3258,False,True,pvc,,0,0,0,,,,,SMACNA,False,0
49,,,schedule_sheet,0.9,1380,False,False,,,0,0,0,,,,,,False,19
50,E-100,E,floor_plan,0.7,1407,False,False,,,0,0,0,,,,,,False,0
51,E-101,E,floor_plan,0.7,1023,False,False,,,0,0,0,,,,,,False,0
52,E-101.1,E,mep_plan,0.3,307,False,False,,,0,0,0,,,,,,False,0
53,,,ceiling_plan,0.7,370,False,False,,,0,0,0,,,,,,False,0
54,E-104,E,roof_plan,0.7,960,False,False,,,0,0,0,,,,,,False,0
55,E-400,E,elevation,0.7,767,False,True,pvc,,0,0,0,,,,,,False,0
56,,,detail_sheet,0.7,1253,False,False,,,0,0,0,,,,,,False,0
57,E-401,E,detail_sheet,0.7,355,False,True,pvc,,0,0,0,,,,,,False,0
58,E-601,E,section,0.7,1769,False,False,,,0,0,0,,,,,,False,0
