page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,C01.0,C,detail_sheet,0.9,1291,False,True,,07 54,0,0,0,,,,,,False,0
1,C01.1,C,elevation,0.9,7142,False,True,pvc,07 54,0,0,0,,,,,,False,0
2,C01.2,C,general_notes,0.9,2900,False,True,pvc,07 54,0,0,0,,,,,,False,0
3,C03.0,C,site_plan,0.9,1441,False,True,,07 54,0,0,0,,,,,,False,0
4,C03.1,C,detail_sheet,0.9,939,False,True,,07 54,0,0,0,,,,,,False,0
5,C03.2,C,detail_sheet,0.9,1042,False,True,,07 54,0,0,0,,,,,,False,0
6,C03.3,C,detail_sheet,0.9,1041,False,True,pvc,07 54,0,0,0,,,,,,False,2
7,C04.0,C,elevation,0.7,2808,False,True,pvc,07 54,0,0,0,,,,,,False,31
8,C04.1,C,detail_sheet,0.9,256,False,True,pvc,07 54,0,0,0,,,,,,False,0
9,C04.2,C,unknown,0.0,221,False,True,,07 54,0,0,0,,,,,,False,0
10,C04.3,C,detail_sheet,0.9,224,False,True,,07 54,0,0,0,,,,,,False,0
11,D6500,D,detail_sheet,0.9,224,False,True,,07 54,0,0,0,,,,,,False,0
12,,,detail_sheet,0.9,224,False,True,,07 54,0,0,0,,,,,,False,0
13,,,detail_sheet,0.9,224,False,True,,07 54,0,0,0,,,,,,False,0
14,,,detail_sheet,0.9,224,False,True,,07 54,0,0,0,,,,,,False,0
15,,,detail_sheet,0.9,224,False,True,,07 54,0,0,0,,,,,,False,0
16,C05.0,C,elevation,0.7,1347,False,True,,07 54,0,0,0,,,,,,False,0
17,,,detail_sheet,0.7,1563,False,False,,,0,0,0,,,,,,False,0
18,C06.1,C,detail_sheet,0.9,4574,False,True,,07 54,0,0,0,,,,,,False,0
19,,,cover,0.9,715,False,False,,,0,0,0,,,,,,False,0
20,,,detail_sheet,0.9,3275,False,False,,,0,0,0,,,,,,False,0
21,,,schedule_sheet,0.9,2001,False,True,pvc,,0,0,0,,,,,,False,0
22,,,detail_sheet,0.9,1678,False,True,pvc,,0,0,0,,,,,,False,14
23,,,detail_sheet,0.9,1371,False,True,pvc,,0,0,0,,,,,,False,0
24,S8,S,general_notes,0.9,1823,False,True,,07 22,0,0,0,,,,,NOA;FBC,False,20
25,P7335,P,detail_sheet,0.7,4243,False,False,,,0,0,0,,,,,,False,0
