page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,G-001,G,general_notes,0.9,1831,False,True,,07 22,0,0,0,,,,,NOA;FBC,False,19
1,G-002,G,detail_sheet,0.7,4278,False,False,,,0,0,0,,,,,,False,0
2,G-003,G,roof_plan,0.7,2620,False,True,,07 52;07 62,0,0,0,,,polyiso;polyisocyanurate;EPS;R-20,,SMACNA,False,0
3,G-004,G,ceiling_plan,0.7,3810,False,False,,,0,0,0,,,,,,False,0
4,P-101,P,elevation,0.9,2957,False,False,,,0,0,0,,,,,,False,0
5,P7374,P,site_plan,0.9,1003,False,True,,,0,0,0,,,,,FBC,False,0
6,,,elevation,0.9,7158,False,True,pvc,,0,0,0,,,,,,False,0
7,,,general_notes,0.9,3427,False,True,pvc,,0,0,0,,,,,,False,0
8,,,cover,0.9,1375,False,False,,,0,0,0,,,,,,False,0
9,A-407,A,site_plan,0.9,1381,False,False,,,0,0,0,,,,,,False,3
10,,,symbol_legend,0.7,349,False,False,,,0,0,0,,,,,,False,0
11,,,detail_sheet,0.9,849,False,False,,,0,0,0,,,,,,False,0
12,,,detail_sheet,0.9,867,False,False,,,0,0,0,,,,,,False,0
13,,,detail_sheet,0.9,1351,False,True,pvc,,0,0,0,,,,,,False,9
14,,,detail_sheet,0.9,213,False,False,,,0,0,0,,,,,,False,0
15,,,detail_sheet,0.9,168,False,False,,,0,0,0,,,,,,False,0
16,D1,D,elevation,0.7,1196,False,True,pvc,,0,0,0,,,,,,False,2
17,,,section,0.7,530,False,False,,,0,0,0,,,,,,False,0
18,,,elevation,0.9,1007,False,False,,,0,0,0,,,,,,False,0
19,,,detail_sheet,0.9,4884,False,False,,,0,0,0,,,,,,False,0
20,,,detail_sheet,0.7,2727,False,True,pvc,07 22;07 84,0,0,0,,,,,,True,0
21,,,detail_sheet,0.9,2144,False,True,pvc,,0,0,0,,,,,,False,26
22,,,detail_sheet,0.9,1259,False,True,pvc,,0,0,0,,,,,,False,0
23,,,detail_sheet,0.7,1310,False,False,,,0,0,0,,,,,,False,2
24,,,detail_sheet,0.9,2862,False,False,,,0,0,0,,,,,,False,0
25,,,detail_sheet,0.7,1122,False,False,,,0,0,0,,,,,,False,0
26,,,detail_sheet,0.7,264,False,False,,,0,0,0,,,,,,False,0
27,,,section,0.5,229,False,False,,,0,0,0,,,,,,False,0
28,,,section,0.5,183,False,False,,,0,0,0,,,,,,False,0
29,A-100,A,site_plan,0.9,676,False,False,,,0,0,0,,,,,,False,1
30,A-101,A,detail_sheet,0.7,2044,False,False,,,0,0,0,,,,,,False,0
31,A-102,A,unknown,0.0,589,False,False,,,0,0,0,,,,,,False,0
32,A-200,A,floor_plan,0.9,2020,False,False,,,0,0,0,,,,,,False,10
33,A-404,A,schedule_sheet,0.9,1140,False,False,,,0,0,0,,,,,,False,3
34,C1,C,ceiling_plan,0.9,1588,False,False,,,0,0,0,,,,,,False,0
35,A-106,A,life_safety,0.9,808,False,True,,,0,0,0,,,,,FBC,False,0
36,A-107,A,roof_plan,0.9,1202,False,True,pvc,,0,0,0,,,,,,False,11
37,A-108,A,detail_sheet,0.9,693,False,True,pvc,,0,0,0,,,,,,False,0
