page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,G000,G,roof_plan,0.7,1318,False,False,,,0,0,0,,,,,,False,0
1,A101,A,floor_plan,0.7,2134,False,True,built_up;epdm;pvc,,0,0,0,,,,,,False,7
2,E001,E,elevation,0.7,1650,False,True,,,0,0,0,,,,,HVHZ;FBC;TAS,False,0
3,G011,G,schedule_sheet,0.7,688,False,False,,,0,0,0,,,,,,False,0
4,G020,G,unknown,0.0,145,False,False,,,0,0,0,,,,,,False,0
5,G021,G,unknown,0.0,142,False,False,,,0,0,0,,,,,,False,0
6,G022,G,unknown,0.0,149,False,False,,,0,0,0,,,,,,False,0
7,G031,G,life_safety,0.9,2421,False,True,pvc,,0,0,0,,,,,,False,0
8,G032,G,detail_sheet,0.9,1107,False,True,pvc,,0,0,0,,,,,,False,0
9,G101,G,life_safety,0.9,1111,False,True,,,0,0,0,,,,,FBC,False,0
10,,,site_plan,0.9,1202,False,False,,,0,0,0,,,,,,False,0
11,,,site_plan,0.9,494,False,False,,,0,0,0,,,,,,False,0
12,AS013,AS,unknown,0.0,260,False,False,,,0,0,0,,,,,,False,0
13,AS501,AS,detail_sheet,0.9,998,False,False,,,0,0,0,,,,,,False,0
14,AS502,AS,detail_sheet,0.9,427,False,False,,,0,0,0,,,,,,False,0
15,AS503,AS,roof_plan,0.9,774,False,True,metal_panel,,0,0,0,,,,,,False,1
16,A522,A,floor_plan,0.9,1040,False,False,,,0,0,0,,,,,,False,0
17,A030,A,floor_plan,0.9,753,False,False,,,0,0,0,,,,,,False,0
18,A032,A,floor_plan,0.9,585,False,False,,,0,0,0,,,,,,False,0
19,A482,A,floor_plan,0.9,474,False,False,,,0,0,0,,,,,,False,0
20,,,floor_plan,0.9,497,False,False,,,0,0,0,,,,,,False,0
21,A305,A,floor_plan,0.9,653,False,True,metal_panel,,0,0,0,,,,,,False,0
22,A301,A,floor_plan,0.9,541,False,False,,,0,0,0,,,,,,False,0
23,,,detail_sheet,0.7,739,False,False,,,0,0,0,,,,,,False,0
24,,,detail_sheet,0.7,893,False,False,,,0,0,0,,,,,,False,0
25,,,detail_sheet,0.7,1011,False,False,,,0,0,0,,,,,,False,0
26,A160,A,ceiling_plan,0.9,1033,False,False,,,0,0,0,,,,,,False,0
27,,,ceiling_plan,0.9,955,False,False,,,0,0,0,,,,,,False,0
28,A152,A,roof_plan,0.9,647,False,True,metal_panel,,0,0,0,,,R-30,,,False,0
29,A551,A,roof_plan,0.9,989,False,True,metal_panel,,0,0,0,,,R-30,,FBC,False,0
30,,,detail_sheet,0.9,2358,False,True,pvc,,0,0,0,,,,,,False,0
31,,,cover,0.9,446,False,False,,,0,0,0,,,,,,False,0
32,C2,C,cover,0.9,462,False,False,,,0,0,0,,,,,,False,0
33,A561,A,symbol_legend,0.7,593,False,False,,,0,0,0,,,,,,False,0
34,A171,A,schedule_sheet,0.7,1262,False,False,,,0,0,0,,,,,,False,0
35,A190,A,detail_sheet,0.9,944,False,False,,,0,0,0,,,,,,False,0
36,A200,A,schedule_sheet,0.7,312,False,True,pvc;metal_panel,,0,0,0,,,,,,False,0
37,,,elevation,0.9,1048,False,True,pvc;metal_panel,,0,0,0,,,,,,False,0
38,,,elevation,0.9,814,False,True,pvc,,0,0,0,,,,,,False,0
39,A571,A,elevation,0.9,536,False,False,,,0,0,0,,,,,,False,0
40,,,elevation,0.9,533,False,False,,,0,0,0,,,,,,False,0
41,,,elevation,0.9,534,False,False,,,0,0,0,,,,,,False,0
42,,,elevation,0.9,477,False,False,,,0,0,0,,,,,,False,0
43,,,elevation,0.9,374,False,False,,,0,0,0,,,,,,False,0
44,A351,A,section,0.7,387,False,False,,,0,0,0,,,,,,False,0
45,A355,A,section,0.7,352,False,False,,,0,0,0,,,,,,False,0
46,A353,A,section,0.7,331,False,False,,,0,0,0,,,,,,False,0
47,,,section,0.7,385,False,False,,,0,0,0,,,,,,False,0
48,,,section,0.7,377,False,False,,,0,0,0,,,,,,False,0
49,,,section,0.7,1192,False,True,pvc;metal_panel,,0,0,0,,,R-38,,,False,0
50,,,section,0.7,1061,False,True,metal_panel,,0,0,0,,,R-38,,,False,0
51,,,section,0.7,866,False,True,pvc;metal_panel,,0,0,0,,,R-38,,,False,0
52,,,detail_sheet,0.9,1327,False,True,pvc;metal_panel,,0,0,0,,,R-38,,,False,0
53,A541,A,detail_sheet,0.9,704,False,True,metal_panel,,0,0,0,,,R-38,,,False,0
54,A254,A,detail_sheet,0.9,622,False,False,,,0,0,0,,,,,,False,0
55,C1,C,ceiling_plan,0.7,615,False,False,,,0,0,0,,,,,,False,0
56,A460,A,floor_plan,0.7,988,False,False,,,0,0,0,,,,,,False,0
57,,,elevation,0.9,767,False,False,,,0,0,0,,,,,,False,0
58,A582,A,elevation,0.7,832,False,False,,,0,0,0,,,,,,False,0
59,A485,A,elevation,0.7,919,False,False,,,0,0,0,,,,,,False,0
60,,,section,0.7,591,False,False,,,0,0,0,,,,,,False,0
61,A581,A,section,0.7,735,False,False,,,0,0,0,,,,,,False,0
62,,,detail_sheet,0.9,730,False,True,pvc,,0,0,0,,,,,,False,0
63,A500,A,detail_sheet,0.7,1768,False,False,,,0,0,0,,,,,,False,0
64,A513,A,detail_sheet,0.9,1163,False,False,,,0,0,0,,,,,,False,0
65,A510,A,schedule_sheet,0.9,850,False,False,,,0,0,0,,,,,,False,0
66,A511,A,detail_sheet,0.9,961,False,False,,,0,0,0,,,,,,False,0
67,A512,A,detail_sheet,0.9,940,False,False,,,0,0,0,,,,,,False,0
68,,,elevation,0.9,1106,False,False,,,0,0,0,,,,,,False,0
69,A514,A,detail_sheet,0.7,501,False,False,,,0,0,0,,,,,,False,0
70,A521,A,section,0.7,921,False,True,pvc,,0,0,0,,,,,,False,0
71,,,detail_sheet,0.9,1048,False,False,,,0,0,0,,,,,,False,0
72,A523,A,detail_sheet,0.9,439,False,True,epdm,,0,0,0,,,,,,False,0
73,,,detail_sheet,0.9,785,False,True,pvc,,0,0,0,,,,,,False,0
74,,,ceiling_plan,0.9,958,False,True,epdm;metal_panel,,0,0,0,,,,,,False,0
75,,,detail_sheet,0.9,1296,False,True,pvc;metal_panel,,0,0,0,,,R-38,,,False,0
76,A552,A,roof_plan,0.7,937,False,True,built_up,,0,0,0,,,R-30;cover board,,,False,0
77,,,detail_sheet,0.9,618,False,False,,,0,0,0,,,,,,False,0
78,A562,A,ceiling_plan,0.7,819,False,False,,,0,0,0,,,,,,False,0
79,,,detail_sheet,0.9,796,False,False,,,0,0,0,,,,,,False,0
80,,,detail_sheet,0.9,807,False,False,,,0,0,0,,,,,,False,0
81,,,detail_sheet,0.9,1237,False,False,,,0,0,0,,,,,,False,0
82,A583,A,detail_sheet,0.9,982,False,True,pvc,,0,0,0,,,,,,False,0
83,AR100,AR,unknown,0.0,151,False,False,,,0,0,0,,,,,,False,0
84,AR101,AR,unknown,0.0,149,False,False,,,0,0,0,,,,,,False,0
85,AR102,AR,unknown,0.0,149,False,False,,,0,0,0,,,,,,False,0
86,AR103,AR,unknown,0.0,147,False,False,,,0,0,0,,,,,,False,0
87,AR104,AR,unknown,0.0,147,False,False,,,0,0,0,,,,,,False,0
88,AR105,AR,unknown,0.0,145,False,False,,,0,0,0,,,,,,False,0
89,AR106,AR,unknown,0.0,147,False,False,,,0,0,0,,,,,,False,0
