page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,LS-101,LS,roof_plan,0.7,765,False,True,,07 54,0,0,0,,,,,,False,0
1,A-601,A,elevation,0.7,2734,False,True,epdm;pvc,,0,0,0,,,R-30,,,False,0
2,G-003,G,elevation,0.7,723,False,False,,,0,0,0,,,,,,False,0
3,,,ceiling_plan,0.7,773,False,False,,,0,0,0,,,,,,False,0
4,A-402,A,general_notes,0.7,311,False,True,,,0,0,0,,,R-30,,,False,0
5,,,roof_plan,0.7,1350,False,True,pvc;metal_panel,,0,0,0,,,,,,False,0
6,A-102,A,unknown,0.0,366,False,False,,,0,0,0,,,,,,False,0
7,A-111,A,ceiling_plan,0.7,561,False,False,,,0,0,0,,,,,,False,0
8,A-101,A,elevation,0.9,722,False,True,pvc;tpo,,2,1,1,Firestone;Carlisle,60 mil,R-30,,SMACNA,False,0
9,A-306,A,elevation,0.9,1058,False,True,pvc;metal_panel,,0,0,0,,,,,,False,0
10,A-301,A,detail_sheet,0.9,1303,False,True,metal_panel,,0,0,0,,,R-30,,,False,0
11,A-302,A,detail_sheet,0.9,1453,False,True,,,0,0,0,,,R-30,,,False,0
12,,,detail_sheet,0.9,1282,False,True,,,0,0,0,,,R-30,,,False,0
13,,,detail_sheet,0.9,1201,False,True,,,0,0,0,,,R-30,,,False,0
14,,,detail_sheet,0.9,922,False,True,,,0,0,0,,,R-30,,,False,0
15,,,detail_sheet,0.9,679,False,True,,,0,0,0,,,R-30,,,False,1
16,A-401,A,detail_sheet,0.7,675,False,False,,,0,0,0,,,,,,False,0
17,,,detail_sheet,0.9,1039,False,False,,,0,0,0,,,,,,False,0
18,,,elevation,0.7,760,False,False,,,0,0,0,,,,,,False,0
19,A-602,A,unknown,0.0,436,False,False,,,0,0,0,,,,,,False,0
20,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
21,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
22,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
23,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
24,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
25,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
26,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
27,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
28,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
29,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
30,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
31,,,roof_plan,0.7,927,False,True,,07 54,0,0,0,,,,,,False,0
32,,,elevation,0.7,2742,False,True,epdm;pvc,,0,0,0,,,R-30,,,False,0
33,,,elevation,0.7,1430,False,False,,,0,0,0,,,,,,False,0
34,,,detail_sheet,0.7,7963,False,True,,,1,1,0,CertainTeed,,,,,False,0
35,,,detail_sheet,0.9,1115,False,False,,,0,0,0,,,,,,False,0
36,A-100,A,elevation,0.7,647,False,True,pvc,,0,0,0,,,R-30,,,False,0
37,A-201,A,floor_plan,0.7,778,False,False,,,0,0,0,,,,,,False,0
38,,,floor_plan,0.7,275,False,False,,,0,0,0,,,,,,False,0
39,,,ceiling_plan,0.7,907,False,False,,,0,0,0,,,,,,False,0
40,A-121,A,detail_sheet,0.9,942,False,True,pvc,,0,0,0,,60 mil,R-25;R-30,,SMACNA,False,0
41,A-303,A,elevation,0.7,868,False,True,metal_panel,,0,0,0,,,,,,False,0
42,,,elevation,0.7,827,False,True,metal_panel,,0,0,0,,,,,,False,0
43,,,detail_sheet,0.9,624,False,True,,,0,0,0,,,R-30,,,False,0
44,,,detail_sheet,0.9,638,False,True,,,0,0,0,,,R-30,,,False,0
45,,,section,0.7,634,False,True,,,0,0,0,,,R-30,,,False,0
46,A-304,A,section,0.7,581,False,True,,,0,0,0,,,R-30,,,False,0
47,A-305,A,detail_sheet,0.9,668,False,True,,,0,0,0,,,R-30,,,False,0
48,,,detail_sheet,0.9,343,False,True,,,0,0,0,,,R-30,,,False,0
49,,,detail_sheet,0.9,1205,False,False,,,0,0,0,,,,,,False,0
50,,,detail_sheet,0.9,821,False,True,metal_panel,,0,0,0,,,,,,False,0
51,,,detail_sheet,0.9,810,False,False,,,0,0,0,,,,,,False,0
52,,,detail_sheet,0.9,1145,False,False,,,0,0,0,,,,,,False,0
53,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
54,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
55,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
56,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
57,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
58,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
59,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
60,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
61,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
62,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
63,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
64,,,roof_plan,0.7,2033,False,True,,07 54,0,0,0,,,,,,False,0
65,,,elevation,0.7,2742,False,True,epdm;pvc,,0,0,0,,,R-30,,,False,0
66,,,elevation,0.7,1387,False,False,,,0,0,0,,,,,,False,0
67,,,detail_sheet,0.7,7963,False,True,,,1,1,0,CertainTeed,,,,,False,0
68,,,detail_sheet,0.9,1114,False,False,,,0,0,0,,,,,,False,0
69,,,elevation,0.7,627,False,True,pvc,,0,0,0,,,R-30,,,False,0
70,,,floor_plan,0.7,771,False,False,,,0,0,0,,,,,,False,0
71,,,floor_plan,0.9,253,False,False,,,0,0,0,,,,,,False,0
72,,,ceiling_plan,0.7,855,False,False,,,0,0,0,,,,,,False,0
73,,,detail_sheet,0.9,951,False,True,pvc,,0,0,0,,60 mil,R-25;R-30,,SMACNA,False,0
74,,,elevation,0.7,832,False,True,metal_panel,,0,0,0,,,,,,False,0
75,,,detail_sheet,0.9,885,False,True,metal_panel,,0,0,0,,,,,,False,0
76,,,detail_sheet,0.9,638,False,True,,,0,0,0,,,R-30,,,False,0
77,,,detail_sheet,0.9,675,False,True,,,0,0,0,,,R-30,,,False,0
78,,,section,0.7,624,False,True,,,0,0,0,,,R-30,,,False,0
79,,,section,0.7,564,False,True,,,0,0,0,,,R-30,,,False,0
80,,,detail_sheet,0.9,661,False,True,,,0,0,0,,,R-30,,,False,0
81,,,detail_sheet,0.9,374,False,True,,,0,0,0,,,R-30,,,False,0
82,,,detail_sheet,0.9,1136,False,False,,,0,0,0,,,,,,False,0
83,,,detail_sheet,0.9,641,False,True,metal_panel,,0,0,0,,,,,,False,0
84,,,detail_sheet,0.9,808,False,False,,,0,0,0,,,,,,False,0
85,,,detail_sheet,0.9,1138,False,False,,,0,0,0,,,,,,False,0
86,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
87,S-401,S,framing_plan,0.9,1279,False,False,,,0,0,0,,,,,,False,0
88,,,unknown,0.0,2,False,False,,,0,0,0,,,,,,False,0
89,,,unknown,0.0,2,False,False,,,0,0,0,,,,,,False,0
90,,,unknown,0.0,2,False,False,,,0,0,0,,,,,,False,0
91,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
92,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
93,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
94,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
95,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
96,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
