page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,,,unknown,0.0,14,False,False,,,0,0,0,,,,,,False,0
1,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
2,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
3,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
4,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
5,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
6,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
7,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
8,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
9,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
10,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
11,P-1.0,P,floor_plan,0.9,1504,False,True,pvc,,0,0,0,,,,,,False,0
12,M-0.0,M,symbol_legend,0.7,1628,False,True,pvc,,0,0,0,,,,,SMACNA,False,0
13,S-1.1,S,symbol_legend,0.7,993,False,False,,,0,0,0,,,,,,False,0
14,S-1.2,S,elevation,0.7,5340,False,True,,,0,0,0,,,,,FBC,False,0
15,S-1.3,S,elevation,0.7,2820,False,True,,,0,0,0,,,,,FBC,False,0
16,S-2.1,S,detail_sheet,0.7,426,False,False,,,0,0,0,,,,,,False,0
17,S-2.2,S,framing_plan,0.9,367,False,False,,,0,0,0,,,,,,False,0
18,S-3.1,S,detail_sheet,0.9,1027,False,False,,,0,0,0,,,,,,False,0
19,S-3.2,S,detail_sheet,0.9,1039,False,False,,,0,0,0,,,,,,False,0
20,S-3.3,S,detail_sheet,0.9,1025,False,False,,,0,0,0,,,,,,False,0
21,S-3.4,S,detail_sheet,0.9,593,False,False,,,0,0,0,,,,,,False,0
22,M-1.0,M,floor_plan,0.9,323,False,False,,,0,0,0,,,,,,False,0
23,M-2.0,M,detail_sheet,0.9,722,False,True,,,0,0,0,,,,,SMACNA,False,0
24,E-0.1,E,symbol_legend,0.7,878,False,False,,,0,0,0,,,,,,False,0
25,E-0.2,E,floor_plan,0.7,2917,False,False,,,0,0,0,,,,,,False,0
26,TN7A,TN,detail_sheet,0.7,619,False,False,,,0,0,0,,,,,,False,0
27,E-2.0,E,detail_sheet,0.7,1485,False,True,,07 31,0,0,0,,,,,,False,0
28,E-3.0,E,floor_plan,0.9,483,False,False,,,0,0,0,,,,,,False,0
29,E-4.0,E,schedule_sheet,0.9,2053,False,False,,,0,0,0,,,,,,False,0
30,E-5.0,E,detail_sheet,0.9,2031,False,True,,07 62,1,1,0,Tremco,,,,,False,13
