page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,AD1,AD,roof_plan,0.9,1808,False,False,,,0,0,0,,,,,,False,0
1,T1.1,T,section,0.5,637,False,True,,,0,0,0,,,,,FBC,False,0
2,T1.2,T,schedule_sheet,0.9,374,False,False,,,0,0,0,,,,,,False,0
3,C0.1,C,cover,0.9,1561,False,True,,07 54,1,1,0,GAF,,,,,False,0
4,C0.2,C,schedule_sheet,0.9,4056,False,True,pvc,,0,0,0,,,,,,False,0
5,C1.0,C,general_notes,0.7,133,False,False,,,0,0,0,,,,,,False,0
6,C1.1,C,detail_sheet,0.9,694,False,False,,,0,0,0,,,,,,False,0
7,C1.2,C,elevation,0.7,663,False,False,,,0,0,0,,,,,,False,0
8,C3.1,C,elevation,0.9,711,False,True,pvc,07 54,0,0,0,,,,,,False,0
9,C2.0,C,detail_sheet,0.9,637,False,True,pvc,,0,0,0,,,,,,False,0
10,C2.1,C,detail_sheet,0.9,780,False,False,,,0,0,0,,,,,,False,0
11,,,schedule_sheet,0.7,1189,False,False,,,0,0,0,,,,,,False,0
12,C3.2,C,detail_sheet,0.9,332,False,False,,,0,0,0,,,,,,False,0
13,LP-1,LP,site_plan,0.7,114,False,False,,,0,0,0,,,,,,False,0
14,LP-2,LP,detail_sheet,0.7,79,False,False,,,0,0,0,,,,,,False,0
15,IR-01,IR,detail_sheet,0.9,982,False,True,pvc,,0,0,0,,,,,,False,10
16,IR-02,IR,schedule_sheet,0.9,1168,False,True,pvc,,0,0,0,,,,,,False,139
17,IR-03,IR,cover,0.9,2548,False,True,pvc,,0,0,0,,,,,FBC,False,0
18,A0.1,A,cover,0.9,4444,True,True,epdm,07 2100,2,2,0,CertainTeed;Sika Sarnafil,,polyisocyanurate;EPS;XPS;DensDeck,,UL 790,False,0
19,A0.2,A,detail_sheet,0.7,5189,True,True,pvc;tpo,07 54 23;07 54 19;07 84;07 92,2,2,0,Johns Manville;Tremco,,,,,True,0
20,A0.3,A,detail_sheet,0.7,1172,False,False,,,0,0,0,,,,,,False,0
21,A6.1,A,floor_plan,0.9,1127,False,False,,,0,0,0,,,,,,False,3
22,A1.3,A,roof_plan,0.9,787,False,True,pvc,,0,0,0,,,polyisocyanurate,Kynar,,False,24
23,,,detail_sheet,0.9,633,False,True,built_up,,0,0,0,,,,,,False,0
24,A1.4,A,detail_sheet,0.9,718,False,False,,,0,0,0,,,,,,False,0
25,A1.5,A,elevation,0.9,192,False,False,,,0,0,0,,,,,,False,0
26,A3.0,A,elevation,0.9,810,False,False,,,0,0,0,,,,,,False,2
27,,,elevation,0.9,712,False,False,,,0,0,0,,,,,,False,1
28,A4.1,A,section,0.7,168,False,False,,,0,0,0,,,,,,False,1
29,,,section,0.7,162,False,False,,,0,0,0,,,,,,False,0
30,A4.0,A,elevation,0.7,731,False,False,,,0,0,0,,,,,,False,0
31,A4.2,A,detail_sheet,0.9,1220,False,False,,,0,0,0,,,,,,False,2
32,,,detail_sheet,0.9,876,False,False,,,0,0,0,,,,,,False,4
33,,,detail_sheet,0.9,1087,False,True,metal_panel,,0,0,0,,,,,,False,1
34,A4.4,A,detail_sheet,0.9,665,False,True,pvc,,0,0,0,,,,,,False,0
35,A1.1,A,elevation,0.9,650,False,False,,,0,0,0,,,,,,False,1
36,,,elevation,0.9,478,False,False,,,0,0,0,,,,,,False,0
37,A5.2,A,elevation,0.9,624,False,True,pvc,,0,0,0,,,,,,False,0
38,A7.1,A,detail_sheet,0.9,1637,False,True,,07 72,0,0,0,,,,,,True,0
39,,,schedule_sheet,0.9,2346,False,False,,,0,0,0,,,,,,False,0
40,A2.0,A,ceiling_plan,0.9,789,False,True,pvc,,0,0,0,,,,,,False,3
41,A8.1,A,detail_sheet,0.7,772,False,False,,,0,0,0,,,,,,False,14
42,,,schedule_sheet,0.7,600,False,False,,,0,0,0,,,,,,False,7
43,A9.2,A,schedule_sheet,0.9,1973,False,False,,,0,0,0,,,,,,False,0
44,A9.3,A,detail_sheet,0.9,52,False,False,,,0,0,0,,,,,,False,0
45,S0.1,S,framing_plan,0.9,4627,False,False,,,0,0,0,,,,,,False,8
46,S2.0,S,floor_plan,0.9,777,False,False,,,0,0,0,,,,,,False,5
47,S3.1,S,framing_plan,0.9,970,False,False,,,0,0,0,,,,,,False,7
48,,,detail_sheet,0.9,561,False,False,,,0,0,0,,,,,,False,0
49,S3.0,S,detail_sheet,0.9,859,False,False,,,0,0,0,,,,,,False,0
50,,,detail_sheet,0.9,815,False,False,,,0,0,0,,,,,,False,0
51,S5.0,S,elevation,0.9,916,False,False,,,0,0,0,,,,,,False,0
52,S5.1,S,detail_sheet,0.9,1377,False,False,,,0,0,0,,,,,,False,0
53,S5.3,S,elevation,0.9,1202,False,False,,,0,0,0,,,,,,False,0
54,P3.0,P,floor_plan,0.9,2719,False,True,epdm;metal_panel;pvc,07 92,1,1,0,Johns Manville,,,,,True,0
55,P0.2,P,elevation,0.7,1508,False,True,pvc,,0,0,0,,,,,,False,0
56,P3.2,P,floor_plan,0.9,837,False,False,,,0,0,0,,,,,,False,1
57,,,elevation,0.9,750,False,False,,,0,0,0,,,,,,False,1
58,,,schedule_sheet,0.9,1195,False,True,,07 52,0,0,0,,,,,,False,0
59,,,detail_sheet,0.9,1314,False,True,pvc,,0,0,0,,,,,,False,0
60,P1.1,P,detail_sheet,0.9,723,False,True,pvc,,0,0,0,,,,,,False,0
61,E3.0,E,detail_sheet,0.9,886,False,True,pvc,,0,0,0,,,,,,False,0
62,P4.0,P,schedule_sheet,0.9,2711,False,True,epdm;pvc,,0,0,0,,,,,,False,0
63,H0.1,H,roof_plan,0.7,2443,False,True,metal_panel,,2,2,0,Johns Manville;CertainTeed,,,,FBC;SMACNA,False,0
64,H0.2,H,life_safety,0.9,2133,False,True,,,0,0,0,,,,,FBC;SMACNA,False,0
65,H1.1,H,floor_plan,0.7,607,False,False,,,0,0,0,,,,,,False,0
66,H3.0,H,roof_plan,0.7,315,False,False,,,0,0,0,,,,,,False,1
67,H5.1,H,schedule_sheet,0.9,740,False,True,epdm,,0,0,0,,,,,,False,0
68,H1.2,H,detail_sheet,0.7,630,False,False,,,0,0,0,,,,,,False,0
69,H4.0,H,detail_sheet,0.9,1055,False,False,,,0,0,0,,,,,,False,0
70,H3.3,H,detail_sheet,0.7,1114,False,False,,,0,0,0,,,,,,False,1
71,,,schedule_sheet,0.9,1958,False,True,,07 62,0,0,0,,,,,SMACNA,False,1
72,,,unknown,0.0,47,False,False,,,0,0,0,,,,,,False,0
73,H5.2,H,unknown,0.0,43,False,False,,,0,0,0,,,,,,False,0
74,H5.3,H,unknown,0.0,43,False,False,,,0,0,0,,,,,,False,0
75,,,detail_sheet,0.7,328,False,False,,,0,0,0,,,,,,False,1
