page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,,,unknown,0.0,71,False,False,,,0,0,0,,,,,,False,0
1,G1.1,G,roof_plan,0.7,2069,False,False,,,0,0,0,,,,,,False,0
2,NV5,NV,section,0.7,3317,False,False,,,0,0,0,,,,,,False,0
3,G2.1.1,G,general_notes,0.7,1202,False,False,,,0,0,0,,,,,,False,0
4,S1.0,S,general_notes,0.9,527,False,False,,,0,0,0,,,,,,False,0
5,A2.1.1,A,elevation,0.9,2939,False,True,built_up;epdm;pvc,,0,0,0,,,,,,False,0
6,,,elevation,0.7,1070,False,False,,,0,0,0,,,,,,False,0
7,A0.1,A,ceiling_plan,0.9,1986,False,False,,,0,0,0,,,,,,False,0
8,,,floor_plan,0.7,2082,False,False,,,0,0,0,,,,,,False,0
9,,,floor_plan,0.7,1079,False,False,,,0,0,0,,,,,,False,0
10,,,floor_plan,0.7,863,False,False,,,0,0,0,,,,,,False,0
11,,,floor_plan,0.7,528,False,False,,,0,0,0,,,,,,False,0
12,,,general_notes,0.7,242,False,False,,,0,0,0,,,,,,False,0
13,A2.1.2,A,floor_plan,0.7,612,False,False,,,0,0,0,,,,,,False,0
14,A2.1.4,A,floor_plan,0.7,1050,False,False,,,0,0,0,,,,,,False,0
15,,,floor_plan,0.7,438,False,False,,,0,0,0,,,,,,False,0
16,,,floor_plan,0.7,705,False,False,,,0,0,0,,,,,,False,0
17,A9.4.2,A,roof_plan,0.7,591,False,True,built_up,,0,0,0,,,,,,False,0
18,A3.1.2,A,ceiling_plan,0.7,653,False,False,,,0,0,0,,,,,,False,0
19,A3.1.4,A,ceiling_plan,0.7,1177,False,False,,,0,0,0,,,,,,False,0
20,A9.9.2,A,ceiling_plan,0.7,565,False,False,,,0,0,0,,,,,,False,0
21,,,ceiling_plan,0.7,508,False,False,,,0,0,0,,,,,,False,0
22,,,ceiling_plan,0.7,661,False,False,,,0,0,0,,,,,,False,0
23,A9.9.1,A,elevation,0.7,170,False,False,,,0,0,0,,,,,,False,0
24,A7.1.1,A,floor_plan,0.9,1333,False,False,,,0,0,0,,,,,,False,0
25,A7.1.2,A,floor_plan,0.9,999,False,False,,,0,0,0,,,,,,False,0
26,A7.1.3,A,floor_plan,0.9,1125,False,False,,,0,0,0,,,,,,False,0
27,A9.4.1,A,floor_plan,0.9,847,False,False,,,0,0,0,,,,,,False,0
28,A7.1.5,A,floor_plan,0.7,957,False,False,,,0,0,0,,,,,,False,0
29,,,elevation,0.9,1166,False,False,,,0,0,0,,,,,,False,0
30,A9.1.1,A,elevation,0.9,1186,False,False,,,0,0,0,,,,,,False,0
31,A9.3.2,A,elevation,0.9,1073,False,False,,,0,0,0,,,,,,False,0
32,,,ceiling_plan,0.9,938,False,False,,,0,0,0,,,,,,False,12
33,,,detail_sheet,0.9,671,False,True,metal_panel,,0,0,0,,,,,,False,0
34,A9.2.1,A,detail_sheet,0.9,2309,False,False,,,0,0,0,,,,,,False,0
35,A9.2.2,A,floor_plan,0.7,1844,False,False,,,0,0,0,,,,,,False,0
36,A9.2.3,A,ceiling_plan,0.9,1642,False,False,,,0,0,0,,,,,,False,0
37,A9.3.1,A,detail_sheet,0.9,2778,False,False,,,0,0,0,,,,,,False,0
38,,,detail_sheet,0.9,816,False,False,,,0,0,0,,,,,,False,0
39,,,ceiling_plan,0.9,551,False,False,,,0,0,0,,,,,,False,1
40,,,schedule_sheet,0.9,662,False,True,metal_panel;built_up,,0,0,0,,,,,,False,1
41,,,elevation,0.9,1075,False,False,,,0,0,0,,,,,,False,0
42,,,elevation,0.7,382,False,False,,,0,0,0,,,,,,False,0
43,,,elevation,0.9,503,False,False,,,0,0,0,,,,,,False,0
44,,,section,0.7,526,False,False,,,0,0,0,,,,,,False,1
45,AF2.3,AF,floor_plan,0.7,897,False,False,,,0,0,0,,,,,,False,0
46,AF2.1,AF,floor_plan,0.7,537,False,False,,,0,0,0,,,,,,False,0
47,,,floor_plan,0.7,536,False,False,,,0,0,0,,,,,,False,0
48,,,ceiling_plan,0.7,2106,False,False,,,0,0,0,,,,,,False,0
49,FP0.1,FP,general_notes,0.9,1709,False,False,,,0,0,0,,,,,,False,0
50,FP2.1,FP,symbol_legend,0.7,343,False,False,,,0,0,0,,,,,,False,0
51,P0.1,P,schedule_sheet,0.9,1625,False,True,pvc,,0,0,0,,,,,,False,0
52,PD2.1.A,PD,schedule_sheet,0.7,460,False,False,,,0,0,0,,,,,,False,0
53,PD2.1.B,PD,schedule_sheet,0.7,508,False,False,,,0,0,0,,,,,,False,0
54,P2.1.A,P,detail_sheet,0.7,699,False,False,,,0,0,0,,,,,,False,1
55,P2.1.B,P,detail_sheet,0.7,443,False,False,,,0,0,0,,,,,,False,1
56,,,detail_sheet,0.7,501,False,False,,,0,0,0,,,,,,False,1
57,P4.1,P,detail_sheet,0.7,836,False,False,,,0,0,0,,,,,,False,1
58,P7.1,P,schedule_sheet,0.9,834,False,False,,,0,0,0,,,,,,False,0
59,M0.1,M,general_notes,0.9,2215,False,True,,,0,0,0,,,,,SMACNA,False,0
60,M0.2,M,section,0.5,1792,False,True,,07 54,0,0,0,,,,,,False,0
61,M0.3,M,mep_plan,0.3,99,False,False,,,0,0,0,,,,,,False,0
62,MD2.1.A,MD,mep_plan,0.3,399,False,False,,,0,0,0,,,,,,False,0
63,MD2.1.B,MD,mep_plan,0.3,378,False,False,,,0,0,0,,,,,,False,0
64,MD2.2.A,MD,schedule_sheet,0.7,353,False,False,,,0,0,0,,,,,,False,2
65,M2.1.A,M,mep_plan,0.3,1086,False,False,,,0,0,0,,,,,,False,0
66,M2.1.B,M,mep_plan,0.3,450,False,False,,,0,0,0,,,,,,False,0
67,,,unknown,0.0,578,False,False,,,0,0,0,,,,,,False,0
68,M2.2.A,M,schedule_sheet,0.7,472,False,False,,,0,0,0,,,,,,False,3
69,M2.2.B,M,mep_plan,0.3,360,False,False,,,0,0,0,,,,,,False,0
70,,,unknown,0.0,333,False,False,,,0,0,0,,,,,,False,0
71,M3.1.A,M,detail_sheet,0.7,728,False,False,,,0,0,0,,,,,,False,0
72,,,detail_sheet,0.7,433,False,False,,,0,0,0,,,,,,False,0
73,,,detail_sheet,0.7,652,False,False,,,0,0,0,,,,,,False,0
74,M3.2.A,M,mep_plan,0.3,403,False,False,,,0,0,0,,,,,,False,0
75,M3.2.B,M,mep_plan,0.3,394,False,False,,,0,0,0,,,,,,False,0
76,,,unknown,0.0,359,False,False,,,0,0,0,,,,,,False,0
77,M6.1,M,detail_sheet,0.9,550,False,False,,,0,0,0,,,,,,False,0
78,M7.1,M,detail_sheet,0.9,2149,False,False,,,0,0,0,,,,,,False,0
79,M8.0,M,general_notes,0.9,1696,False,True,,,0,0,0,,,EPS,,,False,0
80,M8.1,M,schedule_sheet,0.7,2409,False,False,,,0,0,0,,,,,,False,0
81,E0.1,E,elevation,0.9,2548,False,True,pvc,,0,0,0,,,,,,False,0
82,E0.2,E,schedule_sheet,0.7,1855,False,True,,07 22,0,0,0,,,,,,False,0
83,E0.3,E,mep_plan,0.3,97,False,False,,,0,0,0,,,,,,False,0
84,ED2.1.2,ED,ceiling_plan,0.7,737,False,False,,,0,0,0,,,,,,False,0
85,ED2.1.3,ED,ceiling_plan,0.7,703,False,False,,,0,0,0,,,,,,False,0
86,ED2.1.4,ED,ceiling_plan,0.7,656,False,False,,,0,0,0,,,,,,False,0
87,E2.1.1,E,mep_plan,0.3,180,False,False,,,0,0,0,,,,,,False,0
88,E2.4,E,cover,0.9,1316,False,True,,,0,0,0,,,,,FBC,False,0
89,E2.1.3,E,general_notes,0.7,594,False,False,,,0,0,0,,,,,,False,0
90,E2.1.4,E,general_notes,0.7,840,False,False,,,0,0,0,,,,,,False,0
91,E2.3,E,general_notes,0.7,642,False,False,,,0,0,0,,,,,,False,0
92,,,elevation,0.7,709,False,False,,,0,0,0,,,,,,False,0
93,,,schedule_sheet,0.7,675,False,False,,,0,0,0,,,,,,False,0
94,,,schedule_sheet,0.7,602,False,False,,,0,0,0,,,,,,False,0
95,,,schedule_sheet,0.7,508,False,False,,,0,0,0,,,,,,False,0
96,,,schedule_sheet,0.7,547,False,False,,,0,0,0,,,,,,False,0
97,,,schedule_sheet,0.7,500,False,False,,,0,0,0,,,,,,False,1
98,E3.1.2A,E,schedule_sheet,0.9,1631,False,False,,,0,0,0,,,,,,False,0
99,E3.1.2B,E,detail_sheet,0.9,993,False,False,,,0,0,0,,,,,,False,0
100,E3.1.3,E,ceiling_plan,0.7,879,False,False,,,0,0,0,,,,,,False,0
101,E3.1.4,E,ceiling_plan,0.7,1080,False,False,,,0,0,0,,,,,,False,0
102,E5.1,E,schedule_sheet,0.9,1282,False,False,,,0,0,0,,,,,,False,0
103,E6.1,E,mep_plan,0.3,252,False,False,,,0,0,0,,,,,,False,0
104,E7.0,E,schedule_sheet,0.9,657,False,False,,,0,0,0,,,,,,False,0
105,E7.1,E,schedule_sheet,0.9,2557,False,False,,,0,0,0,,,,,,False,0
106,E8.1,E,schedule_sheet,0.9,2701,False,False,,,0,0,0,,,,,,False,0
107,E8.2,E,schedule_sheet,0.9,2275,False,False,,,0,0,0,,,,,,False,0
108,T0.0.1,T,floor_plan,0.9,2587,False,False,,,0,0,0,,,,,,False,0
109,T0.0.2,T,symbol_legend,0.7,2113,False,False,,,0,0,0,,,,,,False,0
110,T7.1.1,T,floor_plan,0.9,481,False,False,,,0,0,0,,,,,,False,0
111,T2.1.3,T,floor_plan,0.9,173,False,False,,,0,0,0,,,,,,False,0
112,T2.1.2,T,floor_plan,0.9,320,False,False,,,0,0,0,,,,,,False,0
113,T3.1.2,T,ceiling_plan,0.9,391,False,False,,,0,0,0,,,,,,False,0
114,T3.1.3,T,ceiling_plan,0.9,182,False,False,,,0,0,0,,,,,,False,0
115,,,ceiling_plan,0.9,289,False,False,,,0,0,0,,,,,,False,0
116,T4.1.2,T,ceiling_plan,0.9,582,False,False,,,0,0,0,,,,,,False,0
117,T4.1.3,T,detail_sheet,0.7,330,False,False,,,0,0,0,,,,,,False,0
118,,,detail_sheet,0.7,476,False,False,,,0,0,0,,,,,,False,0
119,T5.1.1,T,elevation,0.9,271,False,False,,,0,0,0,,,,,,False,0
120,T5.1.2,T,elevation,0.9,334,False,False,,,0,0,0,,,,,,False,0
121,T6.1.1,T,unknown,0.0,321,False,False,,,0,0,0,,,,,,False,0
122,T6.1.2,T,unknown,0.0,284,False,False,,,0,0,0,,,,,,False,0
123,,,elevation,0.9,425,False,False,,,0,0,0,,,,,,False,0
124,T8.1.1,T,schedule_sheet,0.7,393,False,False,,,0,0,0,,,,,,False,0
125,T8.1.2,T,unknown,0.0,262,False,False,,,0,0,0,,,,,,False,0
126,T9.1.1,T,detail_sheet,0.9,557,False,False,,,0,0,0,,,,,,False,0
127,T9.2.1,T,detail_sheet,0.9,581,False,False,,,0,0,0,,,,,,False,0
128,Y0.0.1,Y,schedule_sheet,0.9,1819,False,False,,,0,0,0,,,,,,False,0
129,Y1.1.2,Y,detail_sheet,0.9,415,False,False,,,0,0,0,,,,,,False,0
130,Y1.1.3,Y,detail_sheet,0.7,299,False,False,,,0,0,0,,,,,,False,0
131,Y1.1.4,Y,detail_sheet,0.7,395,False,False,,,0,0,0,,,,,,False,0
132,Y8.1.1,Y,detail_sheet,0.9,695,False,False,,,0,0,0,,,,,,False,0
