page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,G-0.0,G,section,0.5,129,False,False,,,0,0,0,,,,,,False,0
1,G-0.1,G,site_plan,0.7,829,False,False,,,0,0,0,,,,,,False,0
2,G-2.0,G,roof_plan,0.9,2754,False,True,tpo;built_up,,0,0,0,,,,,FBC,False,0
3,,,section,0.7,1717,False,True,,,0,0,0,,,,,NOA;FBC,False,0
4,A-2.4,A,detail_sheet,0.9,1204,False,False,,,0,0,0,,,,,,False,0
5,G-4.0,G,detail_sheet,0.7,539,False,True,,,0,0,0,,,,,FBC,False,0
6,G-5.0,G,general_notes,0.9,704,False,False,,,0,0,0,,,,,,False,0
7,A-0.1,A,floor_plan,0.7,247,False,False,,,0,0,0,,,,,,False,1
8,A-1.0,A,floor_plan,0.7,757,False,True,,,0,0,0,,,,,FBC,False,0
9,A-1.1,A,schedule_sheet,0.7,546,False,False,,,0,0,0,,,,,,False,0
10,A-1.2,A,elevation,0.9,670,False,True,tpo,,0,0,0,,,R-25,,,False,1
11,A-1.3,A,roof_plan,0.7,733,False,True,pvc;tpo;built_up,,1,1,0,GAF,,cover board,,SMACNA,False,0
12,,,elevation,0.9,879,False,False,,,0,0,0,,,,,,False,3
13,A-2.2,A,detail_sheet,0.7,651,False,True,,,0,0,0,,,cover board,,,False,0
14,A-2.3,A,section,0.7,661,False,True,,,0,0,0,,,cover board,,,False,0
15,,,detail_sheet,0.9,525,False,False,,,0,0,0,,,,,,False,0
16,A-3.0,A,schedule_sheet,0.9,1472,False,True,,,0,0,0,,,,,FBC,False,0
17,A-4.0,A,ceiling_plan,0.7,527,False,False,,,0,0,0,,,,,,False,0
18,S-0.1,S,section,0.7,3190,False,True,,07 22,0,0,0,,,,,NOA;FBC,False,0
19,S-0.2,S,detail_sheet,0.9,1477,False,True,,,0,0,0,,,,,FBC,False,0
20,S-0.3,S,framing_plan,0.9,2303,False,False,,,0,0,0,,,,,,False,0
21,A1,A,elevation,0.7,1244,False,True,pvc,,0,0,0,,,,,,False,1
22,S-2.0,S,detail_sheet,0.7,925,False,False,,,0,0,0,,,,,,False,0
23,S-3.0,S,framing_plan,0.7,1084,False,False,,,0,0,0,,,,,,False,0
