page_index,sheet_number,discipline_prefix,page_type,confidence,word_count,in_scope_pages,has_roofing_evidence,system_hits,spec_section_hits,manufacturer_hits_total,manufacturer_hits_positive,manufacturer_hits_negation,manufacturer_hit_names,material_thickness_hits,material_insulation_hits,material_metal_hits,florida_signal_hits,accessory_hit,unresolved_xrefs_on_page
0,,,unknown,0.0,89,False,False,,,0,0,0,,,,,,False,0
1,,,schedule_sheet,0.7,241,False,False,,,0,0,0,,,,,,False,0
2,,,detail_sheet,0.9,76,False,False,,,0,0,0,,,,,,False,0
3,,,detail_sheet,0.9,76,False,False,,,0,0,0,,,,,,False,0
4,,,detail_sheet,0.9,76,False,False,,,0,0,0,,,,,,False,0
5,,,detail_sheet,0.7,3920,False,True,,,1,1,0,CertainTeed,,,,SMACNA,False,0
6,QP0222,QP,unknown,0.0,100,False,False,,,0,0,0,,,,,,False,0
7,A0202,A,elevation,0.7,689,False,False,,,0,0,0,,,,,,False,0
8,,,ceiling_plan,0.7,785,False,True,pvc,,0,0,0,,,,,,False,0
9,,,cover,0.9,472,False,True,,,0,0,0,,,,,FBC,False,0
10,,,schedule_sheet,0.9,3546,False,True,pvc,,1,1,0,CertainTeed,,,,FBC;SMACNA,False,0
11,,,unknown,0.0,98,False,False,,,0,0,0,,,,,,False,0
12,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
13,,,schedule_sheet,0.9,980,False,False,,,0,0,0,,,,,,False,0
14,,,cover,0.9,2051,False,True,,07 31,2,2,0,CertainTeed;Sika Sarnafil,,,,,False,0
15,,,site_plan,0.9,96,False,False,,,0,0,0,,,,,,False,0
16,,,detail_sheet,0.9,99,False,False,,,0,0,0,,,,,,False,0
17,,,detail_sheet,0.9,95,False,False,,,0,0,0,,,,,,False,0
18,,,detail_sheet,0.9,92,False,False,,,0,0,0,,,,,,False,0
19,,,life_safety,0.9,95,False,False,,,0,0,0,,,,,,False,0
20,,,floor_plan,0.9,101,False,False,,,0,0,0,,,,,,False,0
21,,,floor_plan,0.9,88,False,False,,,0,0,0,,,,,,False,0
22,,,detail_sheet,0.9,499,False,False,,,0,0,0,,,,,,False,0
23,,,unknown,0.0,86,False,False,,,0,0,0,,,,,,False,0
24,,,detail_sheet,0.9,422,False,False,,,0,0,0,,,,,,False,0
25,,,ceiling_plan,0.9,87,False,False,,,0,0,0,,,,,,False,0
26,,,ceiling_plan,0.9,88,False,False,,,0,0,0,,,,,,False,0
27,,,roof_plan,0.9,85,False,False,,,0,0,0,,,,,,False,0
28,,,detail_sheet,0.9,85,False,False,,,0,0,0,,,,,,False,0
29,,,elevation,0.9,94,False,False,,,0,0,0,,,,,,False,0
30,,,detail_sheet,0.9,88,False,False,,,0,0,0,,,,,,False,0
31,,,section,0.7,94,False,False,,,0,0,0,,,,,,False,0
32,,,section,0.7,85,False,False,,,0,0,0,,,,,,False,0
33,,,section,0.7,85,False,False,,,0,0,0,,,,,,False,0
34,,,section,0.7,85,False,False,,,0,0,0,,,,,,False,0
35,,,detail_sheet,0.9,87,False,False,,,0,0,0,,,,,,False,0
36,,,detail_sheet,0.9,84,False,False,,,0,0,0,,,,,,False,0
37,,,detail_sheet,0.9,85,False,False,,,0,0,0,,,,,,False,0
38,,,detail_sheet,0.9,87,False,False,,,0,0,0,,,,,,False,0
39,,,elevation,0.9,502,False,False,,,0,0,0,,,,,,False,0
40,,,elevation,0.9,482,False,False,,,0,0,0,,,,,,False,0
41,,,elevation,0.9,469,False,False,,,0,0,0,,,,,,False,0
42,,,schedule_sheet,0.9,913,False,False,,,0,0,0,,,,,,False,0
43,K1401,K,schedule_sheet,0.7,2040,False,False,,,0,0,0,,,,,,False,0
44,,,schedule_sheet,0.9,2336,False,False,,,0,0,0,,,,,,False,0
45,,,schedule_sheet,0.7,456,False,False,,,0,0,0,,,,,,False,0
46,T2011,T,elevation,0.9,268,False,False,,,0,0,0,,,,,,False,0
47,,,elevation,0.9,224,False,False,,,0,0,0,,,,,,False,2
48,,,floor_plan,0.9,271,False,False,,,0,0,0,,,,,,False,0
49,,,detail_sheet,0.9,86,False,False,,,0,0,0,,,,,,False,0
50,,,elevation,0.9,2180,False,True,pvc,,0,0,0,,,,Galvalume,,False,0
51,P1,P,schedule_sheet,0.9,2858,False,True,metal_panel,,0,0,0,,,,Galvalume;PVDF,,False,0
52,,,elevation,0.7,3791,False,True,pvc,,2,2,0,Johns Manville;Tremco,,,Galvalume,,False,0
53,,,schedule_sheet,0.9,4680,False,True,pvc,07 61,0,0,0,,,EPS,,,False,0
54,,,detail_sheet,0.7,1444,False,False,,,0,0,0,,,,,,False,0
55,,,unknown,0.0,11,False,False,,,0,0,0,,,,,,False,0
56,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
57,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
58,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
59,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
60,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
61,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
62,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
63,,,unknown,0.0,0,False,False,,,0,0,0,,,,,,False,0
